cluster_id,count,latitude_mean,longitude_mean,latitude_min,latitude_max,longitude_min,longitude_max
18,888,44.16433895720721,-77.3830276036036,44.15931,44.169222,-77.3863,-77.379369
181,163,38.892921914110424,-77.02305077300613,38.892661,38.893087,-77.023386,-77.022743
139,115,38.89765467826088,-77.03646397391306,38.897295,38.89793,-77.037441,-77.035553
130,101,55.940354999999975,-3.1814,55.940355,55.940355,-3.1814,-3.1814
143,81,-27.468883172839515,153.02282579012348,-27.469117,-27.468879,153.02276,153.022827
123,51,44.93460300000001,4.89031,44.934603,44.934603,4.89031,4.89031
87,47,51.50632499999997,-0.12714400000000006,51.506325,51.506325,-0.127144,-0.127144
22,46,44.19517026086957,-77.04857071739131,44.194543,44.195609,-77.049844,-77.048149
71,45,41.884150644444446,-87.63240835555554,41.88415,41.884151,-87.632409,-87.632408
19,44,44.16961836363637,-77.3858518409091,44.168522,44.170631,-77.386922,-77.384848
212,44,44.446586999999994,1.4381789999999999,44.446587,44.446587,1.438179,1.438179
88,39,52.20986999999999,0.11156499999999998,52.20987,52.20987,0.111565,0.111565
21,35,44.19876562857143,-77.04730448571428,44.198435,44.198974,-77.048631,-77.045938
17,31,40.7145493548387,-74.00712312903227,40.71453,40.71455,-74.007133,-74.007118
89,27,51.21135,-2.6459540000000006,51.21135,51.21135,-2.645954,-2.645954
197,26,45.783660000000005,-108.50552299999998,45.78366,45.78366,-108.505523,-108.505523
91,25,52.883289000000005,-1.97685,52.883289,52.883289,-1.97685,-1.97685
6,24,-33.873194125000005,151.206691,-33.873708,-33.872571,151.206121,151.207408
69,22,38.89036999999999,-77.03195899999997,38.89037,38.89037,-77.031959,-77.031959
214,21,43.73846000000001,7.42621,43.73846,43.73846,7.42621,7.42621
150,21,-27.7129,151.641368,-27.7129,-27.7129,151.641368,151.641368
224,21,44.22988099999999,1.8434590000000004,44.229881,44.229881,1.843459,1.843459
31,21,44.16643476190476,-77.37532604761903,44.165498,44.167268,-77.375797,-77.374563
144,20,-27.471134,153.018157,-27.471134,-27.471134,153.018157,153.018157
66,19,37.5571,126.97699999999998,37.5571,37.5571,126.977,126.977
103,19,48.856925000000004,2.3412099999999993,48.856925,48.856925,2.34121,2.34121
207,19,37.54632094736843,-77.43812526315789,37.546023,37.54655,-77.438471,-77.438001
169,18,8.35,80.41666600000002,8.35,8.35,80.416666,80.416666
65,17,64.9639,-19.0212,64.9639,64.9639,-19.0212,-19.0212
26,17,44.19726923529412,-77.05199135294117,44.197051,44.197412,-77.05215,-77.051582
68,17,42.358635,-71.056699,42.358635,42.358635,-71.056699,-71.056699
204,16,42.379216,-71.02292,42.379216,42.379216,-71.02292,-71.02292
117,16,44.197477812500004,-77.045879375,44.197359,44.197605,-77.045917,-77.045788
75,16,39.9522771875,-75.16237362499999,39.95227,39.952385,-75.162448,-75.162368
184,16,40.023731,-76.33171,40.023731,40.023731,-76.33171,-76.33171
133,16,-33.854527562499996,151.20921225,-33.855127,-33.853791,151.208921,151.209747
174,16,1.283333,103.85,1.283333,1.283333,103.85,103.85
52,16,44.171885375,-77.38296249999999,44.171431,44.172131,-77.383189,-77.382363
81,16,19.431892562500003,-99.13288700000001,19.43187,19.432231,-99.132889,-99.132857
220,16,44.077966,1.728286,44.077966,44.077966,1.728286,1.728286
23,16,44.165232625,-77.3869168125,44.164836,44.165644,-77.387845,-77.386236
102,15,49.894734599999985,2.293164600000001,49.894729,49.894735,2.293159,2.293165
115,15,44.195732266666674,-77.04696273333334,44.195305,44.195897,-77.047462,-77.046711
32,15,44.167184,-77.36790966666665,44.167014,44.167312,-77.368083,-77.367568
140,15,38.889923333333336,-77.00916766666667,38.889696,38.890247,-77.009932,-77.008645
34,15,44.165107733333336,-77.37779146666668,44.16472,44.165444,-77.378726,-77.377116
203,14,39.53542399999999,-107.77965500000002,39.535424,39.535424,-107.779655,-107.779655
37,14,44.168047642857154,-77.3809295,44.167652,44.168445,-77.381955,-77.379627
190,14,21.304729000000002,-157.85761999999997,21.304729,21.304729,-157.85762,-157.85762
2,14,-33.86750499999999,151.20736028571432,-33.867702,-33.86711,151.207065,151.208004
131,14,54.97652900000001,-1.521348,54.976529,54.976529,-1.521348,-1.521348
216,14,43.73121200000001,7.419848000000001,43.731212,43.731212,7.419848,7.419848
159,14,-20.077400000000004,146.26315299999993,-20.0774,-20.0774,146.263153,146.263153
105,14,47.085855,2.39293,47.085855,47.085855,2.39293,2.39293
129,13,46.71067000000001,1.7181889999999997,46.71067,46.71067,1.718189,1.718189
84,13,43.78237000000001,11.254995,43.78237,43.78237,11.254995,11.254995
200,13,39.100891999999995,-84.506921,39.100892,39.100892,-84.506921,-84.506921
63,13,44.15592869230768,-77.39389692307694,44.155376,44.156439,-77.394433,-77.393231
191,13,36.171909000000014,-115.13996799999998,36.171909,36.171909,-115.139968,-115.139968
215,13,43.73776199999999,7.421403999999999,43.737762,43.737762,7.421404,7.421404
213,13,41.916456999999994,12.488192999999999,41.916457,41.916457,12.488193,12.488193
151,13,-24.86673707692308,152.34662761538462,-24.86705,-24.866711,152.346622,152.346695
109,13,48.29787499999999,4.074345,48.297875,48.297875,4.074345,4.074345
154,13,-27.465662615384613,153.02303815384613,-27.46567,-27.465574,153.023028,153.023039
211,12,46.15718300000001,-1.1503879999999997,46.157183,46.157183,-1.150388,-1.150388
121,12,37.759679416666664,-122.38820391666667,37.759655,37.75975,-122.388298,-122.388031
205,12,37.54829066666666,-77.43619791666667,37.548046,37.54845,-77.436405,-77.436063
113,12,48.636081999999995,-1.5108299999999997,48.636082,48.636082,-1.51083,-1.51083
171,12,5.416666,100.333333,5.416666,5.416666,100.333333,100.333333
107,12,47.586850000000005,1.3314330000000003,47.58685,47.58685,1.331433,1.331433
202,11,36.404152,-105.579986,36.404152,36.404152,-105.579986,-105.579986
16,11,42.733762181818186,-84.55557145454546,42.733679,42.733868,-84.555673,-84.555459
40,11,44.16437190909091,-77.39155127272727,44.163835,44.164828,-77.392458,-77.390656
183,11,40.91645799999999,-74.17108099999999,40.916458,40.916458,-74.171081,-74.171081
45,11,44.16201663636364,-77.37637881818183,44.161811,44.162565,-77.377202,-77.375625
46,11,44.17785963636364,-77.38884709090911,44.177833,44.178126,-77.389208,-77.388811
122,11,45.04596300000001,5.048398,45.045963,45.045963,5.048398,5.048398
172,11,22.266665999999997,114.18333299999999,22.266666,22.266666,114.183333,114.183333
229,11,44.67609900000001,1.874198,44.676099,44.676099,1.874198,1.874198
146,11,-19.257203090909094,146.8211290909091,-19.25723,-19.2572,146.82106,146.821136
155,11,-27.561448999999996,151.953293,-27.561449,-27.561449,151.953293,151.953293
