id,title,description,date_taken,date_uploaded,latitude,longitude,context,image_url,tags,source_dataset,vision_label,vision_reason,vision_error,vision_model,vision_backend
13705899473,Loading bales of hay possibly on a Norwegian merchant vessel at Woolloomooloo Bay in Sydney,"This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00021343",2007-01-22 13:55:29,1396918912,-33.867483,151.220819,0,https://live.staticflickr.com/7389/13705899473_5ce552c79d_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.011,,ViT-B-32,openclip
13705894735,Loading sheep on board a merchant vessel possibly at west Woolloomooloo Bay wharf,"This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00021342",2007-01-22 13:56:35,1396918912,-33.867537,151.220862,0,https://live.staticflickr.com/2851/13705894735_809f445524_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.006,,ViT-B-32,openclip
13092770863,Officers on board JEANNE D'ARC,"JEANNE D'ARC moored at Circular Quay, Sydney on its 1938 goodwill visit to Australia. Officers are photographed walking in loose formation along the deck in front of a naval chaplain, possibly on their way to or from a divine service.

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020438",1938-01-01 00:00:00,1394577449,-33.859333,151.212773,0,https://live.staticflickr.com/7321/13092770863_8427895a6a_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.029,,ViT-B-32,openclip
13092770473,Duty matelot on JEANNE D'ARC,"JEANNE D'ARC moored at Circular Quay, Sydney on its 1938 goodwill visit to Australia. At the top of the gangway (brow in naval language) stands a sailor with rifle and ceremonial flag, smiling slightly at being captured on film. In the background a number of matelots stand casually, watching as the photographer captures their crew mate on duty.

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020436",1938-01-01 00:00:00,1394577448,-33.859333,151.212773,0,https://live.staticflickr.com/7373/13092770473_cc6c8f4167_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.040,,ViT-B-32,openclip
13092770303,Matelot on duty on JEANNE D'ARC,"JEANNE D'ARC moored at Circular Quay, Sydney on its 1938 goodwill visit to Australia. The Hood Studio was allowed access to the ship and here we have a sailor (matelot) on ceremonial guard duty complete with boarding pike.

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020435",1938-01-01 00:00:00,1394577447,-33.859333,151.212773,0,https://live.staticflickr.com/3200/13092770303_5a54fa90ec_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.002,,ViT-B-32,openclip
13092769983,Billy Hughes inspects JEANNE D'ARC,"JEANNE D'ARC moored at Circular Quay, Sydney on its 1938 goodwill visit to Australia. The then Federal Minister for External Affairs - William &quot;Billy&quot; Morris Hughes, former Australian Prime Minister 1915-1923 - made an official visit. Here we see Hughes with Captain Auphan and a gentleman who is presumably a French government official or perhaps a consul or ambassador. A naval guard stands with bayonetted rifles, glancing slightly at the photographer. The French Navy's motto is Honneur, Patrie, Valeur, Discipline (Honour, Homeland, Valour, Discipline) and features on all French naval vessels.

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020433",1938-01-01 00:00:00,1394577445,-33.859333,151.212773,0,https://live.staticflickr.com/7315/13092769983_b9eaf2e484_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.052,,ViT-B-32,openclip
13092769973,Officers and sailors line the bow of JEANNE D'ARC,"JEANNE D'ARC moored at Circular Quay, Sydney on its 1938 goodwill visit to Australia. At the bow we have the ratings (matelots) in their distinctive French naval uniform and a few officers casually posing for the photograph, leaning against (and in one case sitting on) the guard rail.

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020432",1938-01-01 00:00:00,1394577445,-33.859333,151.212773,0,https://live.staticflickr.com/2733/13092769973_060a672b84_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.223,,ViT-B-32,openclip
12960641473,"A page from the HMAS Sydney log describing the battle, by an unknown sailor","While escorting the first convoy of ANZAC troops bound for Europe on 9 November 1914 the Royal Australian Navy light cruiser HMAS Sydney engaged the infamous German commerce raider SMS Emden. The two light cruisers fought a 90 minute battle. The Emden’s guns had more range and fired first, but Sydney’s more powerful main guns pounded the Emden until it was disabled and beached on North Keeling Island. The Royal Australian Navy’s first great test of war ended in a comprehensive victory. 

The exhibition <a href=""http://www.anmm.gov.au/site/page.cfm?u=2208"" rel=""nofollow"">'Test of War - Royal Australian Navy in WW1</a> will open at the Australian National Maritime Museum 12 September 2014 and run until May 2015.",1913-11-01 00:00:00,1394072002,-33.867273,151.198319,0,https://live.staticflickr.com/2113/12960641473_f71cb48e5d_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.049,,ViT-B-32,openclip
12960493445,"A page from the HMAS Sydney log describing the battle, by an unknown sailor","While escorting the first convoy of ANZAC troops bound for Europe on 9 November 1914 the Royal Australian Navy light cruiser HMAS Sydney engaged the infamous German commerce raider SMS Emden. The two light cruisers fought a 90 minute battle. The Emden’s guns had more range and fired first, but Sydney’s more powerful main guns pounded the Emden until it was disabled and beached on North Keeling Island. The Royal Australian Navy’s first great test of war ended in a comprehensive victory. 

The exhibition <a href=""http://www.anmm.gov.au/site/page.cfm?u=2208"" rel=""nofollow"">'Test of War - Royal Australian Navy in WW1</a> will open at the Australian National Maritime Museum 12 September 2014 and run until May 2015.",1913-11-01 00:00:00,1394072002,-33.867278,151.198333,0,https://live.staticflickr.com/7398/12960493445_6244891b13_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.172,,ViT-B-32,openclip
12960925934,A ship’s log by an unknown sailor from HMAS Sydney,"While escorting the first convoy of ANZAC troops bound for Europe on 9 November 1914 the Royal Australian Navy light cruiser HMAS Sydney engaged the infamous German commerce raider SMS Emden. The two light cruisers fought a 90 minute battle. The Emden’s guns had more range and fired first, but Sydney’s more powerful main guns pounded the Emden until it was disabled and beached on North Keeling Island. The Royal Australian Navy’s first great test of war ended in a comprehensive victory. 

The exhibition <a href=""http://www.anmm.gov.au/site/page.cfm?u=2208"" rel=""nofollow"">'Test of War - Royal Australian Navy in WW1</a> will open at the Australian National Maritime Museum 12 September 2014 and run until May 2015.",1913-01-01 00:00:00,1394072001,-33.867284,151.198333,0,https://live.staticflickr.com/7450/12960925934_550fec4a23_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.214,,ViT-B-32,openclip
